/noise_level,method,snr_db,fpr
0,Fixed ($\sigma=2.0$),40.602314607741974,0.0
0,Adaptive,31.403256245987027,0.0
0,Directional,124.5654468825761,0.0
5,Fixed ($\sigma=2.0$),32.23445184644564,0.0
5,Adaptive,29.398565607506114,0.0
5,Directional,33.67149507192898,0.0
10,Fixed ($\sigma=2.0$),20.33508515286945,0.0
10,Adaptive,20.384547970621853,0.0
10,Directional,21.233491871582842,0.0
15,Fixed ($\sigma=2.0$),14.02306908210173,0.0
15,Adaptive,14.287234867303386,1.8443378827001106e-05
15,Directional,14.913363899862054,0.0
20,Fixed ($\sigma=2.0$),9.53109476592129,0.0
20,Adaptive,10.059444937016956,1.8443378827001106e-05
20,Directional,10.257352554671657,0.0
25,Fixed ($\sigma=2.0$),6.006141762547825,0.0006455182589450387
25,Adaptive,6.475495895028666,0.00016599040944300996
25,Directional,6.325316815500401,0.0007561785319070454
30,Fixed ($\sigma=2.0$),5.9902729745992005,0.017281445960900036
30,Adaptive,6.4826099462186,0.001549243821468093
30,Directional,6.611673736452422,0.009977867945407599
