method,localization_error_px,coherence
Fixed sigma=0.50,80,0.940849485524412
Fixed sigma=0.74,80,0.9213678267017792
Fixed sigma=0.97,80,0.914875917282976
Fixed sigma=1.21,80,0.9134377907701393
Fixed sigma=1.45,81,0.9094858636335946
Fixed sigma=1.68,81,0.9090697321917274
Fixed sigma=1.92,81,0.9057262190607828
Fixed sigma=2.16,81,0.903090331599544
Fixed sigma=2.39,81,0.9027844229470273
Fixed sigma=2.63,81,0.9013027916990841
Fixed sigma=2.87,81,0.8981215250387269
Fixed sigma=3.11,81,0.8956923037916993
Fixed sigma=3.34,81,0.8935423699694807
Fixed sigma=3.58,81,0.8913824081251173
Fixed sigma=3.82,81,0.8876083645425401
Fixed sigma=4.05,81,0.885497991920964
Fixed sigma=4.29,81,0.8817494936855804
Fixed sigma=4.53,81,0.8779683505666444
Fixed sigma=4.76,81,0.8746623989164755
Fixed sigma=5.00,81,0.8714048290939894
Adaptive,80,0.926139274145312
Directional,80,0.9056665079775538
Combined,3,0.9133754142862481
